[Header]
TITLE,Tm2O3 HP B-Type Puck 225 7-11-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
3923693.73,,5905,,3.4416,0.043,9.2E-6,3.4561854,0.068338657,0.084332865,0.0007134,0.67652422,0.003431,85.009389,0.7134,3.9954281,20.946888,0.0061775962,96.11829,983.58539,2.758,1,,,,4.2196759E-6,43.948481,11.945217,0.024400562,0
3923866.09,,5905,,3.4442,0.043,9.2E-6,3.4565013,0.067806805,0.083703141,0.000653,0.67673297,0.003433,84.379874,0.653,3.4138832,20.484351,0.0056501798,96.407833,986.13598,2.551,1,,,,4.2703103E-6,41.893777,11.947402,0.024216146,0
3924033.67,,5905,,3.4427,0.043,9.2E-6,3.4560863,0.06704918,0.083252739,0.0006835,0.67655564,0.003431,83.929295,0.6835,8.3817048,20.319583,0.0057769627,96.312588,987.79251,2.688,1,,,,4.2861085E-6,40.968702,11.944532,0.024088733,0
3924311.13,,5905,,3.5914,0.043,9.2E-6,3.6087224,0.071259187,0.083633662,0.0007674,0.75283511,0.004301,84.386497,0.7674,1.8792884,19.880454,0.0067562802,96.001825,1029.8495,3.131,1,,,,4.4183964E-6,40.639166,13.022877,0.023175422,0
3924454.39,,5905,,3.6028,0.043,9.2E-6,3.6101048,0.07058626,0.083584392,0.0006963,0.75334782,0.004307,84.33774,0.6963,2.8695847,18.86671,0.0054620074,96.61934,1030.4464,2.846,1,,,,4.6238618E-6,39.760908,13.032857,0.023152899,0
3924611.66,,5905,,3.593,0.043,9.2E-6,3.6086125,0.069103166,0.082967747,0.0006714,0.75280544,0.0043,83.720552,0.6714,3.9257409,19.107962,0.0062025998,96.21912,1032.566,2.771,1,,,,4.5505901E-6,37.733419,13.022084,0.022991592,0
3924880.03,,5905,,3.7569,0.043,9.2E-6,3.7693064,0.07359513,0.083897941,0.000681,0.84344307,0.004444,84.741384,0.681,1.9994233,18.244194,0.0059772457,96.561454,1074.546,2.892,1,,,,4.8070225E-6,38.215923,14.207671,0.022258191,0
3925014.44,,5905,,3.7546,0.043,9.2E-6,3.7699111,0.072558312,0.083601856,0.0007313,0.84403567,0.004438,84.445892,0.7313,4.3030607,17.961534,0.0062196015,96.374033,1075.9856,3.119,1,,,,4.8749177E-6,36.488388,14.21223,0.022176081,0
3925164.92,,5905,,3.753,0.043,9.2E-6,3.7694191,0.071946195,0.083515625,0.0007062,0.84377665,0.004441,84.359401,0.7062,5.7896532,17.906184,0.0060861893,96.445928,1076.2153,3.016,1,,,,4.8814018E-6,35.923068,14.20852,0.0221561,0
3925427.78,,5905,,3.9193,0.043,9.2E-6,3.9369022,0.076118459,0.083893079,0.0007916,0.96821014,0.003243,84.86129,0.7916,3.4031548,16.919475,0.0060284254,96.739346,1122.3455,3.508,1,,,,5.1808771E-6,35.812367,15.499199,0.021309414,0
3925571.63,,5905,,3.9229,0.043,9.2E-6,3.936447,0.075888586,0.082730846,0.0006611,0.96828792,0.003243,83.699134,0.6611,4.2649991,17.043961,0.0067637701,96.405998,1127.4464,2.987,1,,,,5.0897149E-6,33.83895,15.495615,0.021016629,0
3925699.02,,5905,,3.9239,0.043,9.2E-6,3.9366886,0.075953922,0.083247312,0.0006253,0.96841396,0.003243,84.215726,0.6253,2.1111047,17.322971,0.0076650787,95.950384,1125.1791,2.803,1,,,,5.062088E-6,34.087923,15.497517,0.021146532,0
3925958.09,,5905,,4.0923,0.043,9.2E-6,4.1114441,0.081373063,0.08292159,0.0007156,1.0756398,0.004028,83.99723,0.7156,14.633619,16.056313,0.0073265828,96.257123,1176.6641,3.366,1,,,,5.4297512E-6,34.645942,16.903972,0.020168483,0
3926079.27,,5905,,4.0969,0.043,9.2E-6,4.11127,0.078088596,0.084016301,0.000749,1.0756232,0.004028,85.091924,0.749,1.55641,15.999812,0.0069326245,96.40529,1171.4816,3.461,1,,,,5.5117191E-6,32.112626,16.902541,0.020435608,0
3926200.08,,5905,,4.0913,0.043,9.2E-6,4.111156,0.079736002,0.081713581,0.0006623,1.0756231,0.004028,82.789204,0.6623,2.0183059,15.845673,0.0073426594,96.252889,1182.3513,3.177,1,,,,5.4229619E-6,31.999624,16.901603,0.01987606,0
3926448.78,,5905,,4.2749,0.043,9.2E-6,4.2933027,0.082751766,0.082532205,0.0006448,1.2267557,0.004394,83.758961,0.6448,4.442239,14.486271,0.0063706811,96.859591,1230.64,3.188,1,,,,5.9640504E-6,31.691347,18.432448,0.019223477,0
3926560.14,,5905,,4.2801,0.043,9.2E-6,4.2921903,0.080377937,0.082201276,0.0006778,1.2262514,0.004394,83.427527,0.6778,7.3144056,14.734545,0.0072198093,96.500987,1231.97,3.368,1,,,,5.8614456E-6,28.972541,18.422898,0.019151359,0
3926672.64,,5905,,4.2746,0.043,9.2E-6,4.2927318,0.081481446,0.08159738,0.0006993,1.2267938,0.004394,82.824174,0.6993,6.1349816,14.611327,0.0073256382,96.444915,1235.1575,3.508,1,,,,5.8714002E-6,29.469089,18.427546,0.019008264,0
3926911.73,,5905,,4.4631,0.043,9.2E-6,4.4836923,0.08828316,0.07994494,0.000681,1.3700399,0.004851,81.31498,0.681,42.213177,13.872581,0.0077584566,96.509661,1298.9312,3.668,1,,,,6.0665837E-6,29.222654,20.103497,0.017830157,0
3927033.92,,5905,,4.4647,0.043,9.2E-6,4.4838908,0.084681342,0.081528212,0.0007057,1.369903,0.004851,82.898115,0.7057,3.8809115,13.454566,0.0062239529,97.073381,1290.5249,3.702,1,,,,6.341089E-6,27.745163,20.105277,0.01818247,0
3927139.17,,5905,,4.4703,0.043,9.2E-6,4.4835266,0.083955714,0.08033862,0.0007128,1.3696825,0.00485,81.708302,0.7128,2.8570784,13.185249,0.0056804142,97.318868,1296.7581,3.813,1,,,,6.3620711E-6,26.909133,20.102011,0.017918622,0
3927367.72,,5905,,4.6601,0.043,9.2E-6,4.6815007,0.09094716,0.078494902,0.0006883,1.5411675,0.00452,80.03607,0.6883,1.2474307,12.912503,0.0082047557,96.523278,1364.5369,3.965,1,,,,6.4132258E-6,26.370497,21.916449,0.016767039,0
3927469.66,,5905,,4.6623,0.043,9.2E-6,4.6823687,0.09064307,0.078534173,0.0006407,1.5418688,0.004519,80.076042,0.6407,1.8825087,12.785178,0.0082800181,96.453924,1364.5624,3.691,1,,,,6.4848227E-6,25.825007,21.924577,0.016772317,0
3927571.47,,5905,,4.6507,0.043,9.2E-6,4.6821924,0.090635615,0.077781813,0.0006224,1.5418443,0.004519,79.323657,0.6224,5.8057301,12.542141,0.0074438925,96.790593,1368.8964,3.632,1,,,,6.5263328E-6,25.570356,21.922925,0.016612263,0
3927800.61,,5905,,4.869,0.043,9.2E-6,4.8896924,0.096747646,0.077124356,0.0005208,1.7316714,0.005693,78.856027,0.5208,2.3158378,12.159082,0.009348413,96.294261,1433.6122,3.213,1,,,,6.7242891E-6,25.084282,23.909091,0.015772844,0
3927898.42,,5905,,4.8733,0.043,9.2E-6,4.8902103,0.096588756,0.07569161,0.0006323,1.7320498,0.005698,77.42366,0.6323,2.7292857,11.628721,0.0082961296,96.63428,1442.754,3.995,1,,,,6.879766E-6,24.318163,23.914156,0.015478191,0
3927992.39,,5905,,4.8738,0.043,9.2E-6,4.8897926,0.092591296,0.076541566,0.0005429,1.7313124,0.005689,78.272879,0.5429,0.35390825,11.273827,0.0064133978,97.303337,1437.271,3.382,1,,,,7.1269892E-6,23.257443,23.910072,0.015653336,0
3928210.52,,5905,,5.081,0.043,9.2E-6,5.1066358,0.098293653,0.076097045,0.0004873,1.9429357,0.006105,78.03998,0.4873,0.91847767,10.898722,0.0072235345,97.198828,1503.9254,3.197,1,,,,7.3568147E-6,22.547654,26.07773,0.0149016,0
3928311.7,,5905,,5.0727,0.043,9.2E-6,5.1058045,0.098182765,0.076142302,0.0007037,1.9428186,0.006104,78.085121,0.7037,0.69962703,11.127473,0.0079338023,96.978552,1503.3826,4.603,1,,,,7.2253668E-6,21.797444,26.06924,0.01491289,0
3928414.64,,5905,,5.0858,0.043,9.3E-6,5.1062425,0.09981768,0.075323071,0.0005812,1.94361,0.006107,77.266681,0.5812,1.223943,11.096349,0.0094032054,96.42875,1508.9427,3.861,1,,,,7.2085422E-6,22.254946,26.073713,0.014751174,0
3928630.64,,5905,,5.3097,0.043,9.2E-6,5.3338735,0.10547832,0.075788776,0.0006364,2.2289378,0.006644,78.017714,0.6364,1.6109826,10.406976,0.0090013966,96.791636,1572.9747,4.378,1,,,,7.7313811E-6,22.192697,28.450206,0.014208956,0
3928716.98,,5905,,5.3147,0.043,9.2E-6,5.332974,0.10229134,0.075555795,0.0006157,2.2274535,0.006658,77.783248,0.6157,5.0003949,10.0372,0.0071233783,97.387849,1574.3243,4.253,1,,,,7.9457636E-6,20.813953,28.440612,0.014167666,0
3928800.48,,5905,,5.3187,0.043,9.2E-6,5.3325407,0.10114058,0.074088086,0.0005464,2.2270818,0.006662,76.315168,0.5464,0.32122613,9.7747715,0.006884984,97.456293,1584.5236,3.876,1,,,,7.9995593E-6,20.074399,28.43599,0.013893581,0
